"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:19.4354617 am","python.exe","16236","QueryBasicInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS","CreationTime: 2/8/2022 9:50:08 am, LastAccessTime: 5/8/2022 10:17:41 am, LastWriteTime: 5/8/2022 10:17:41 am, ChangeTime: 5/8/2022 10:17:41 am, FileAttributes: A"
"10:35:19.4354879 am","python.exe","16236","QueryFileInternalInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS","IndexNumber: 0xd00000000776e4"
"10:35:19.4355001 am","python.exe","16236","QueryStandardInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS","AllocationSize: 397,312, EndOfFile: 394,254, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:35:19.4355981 am","python.exe","16236","CreateFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\~BROMIUM\inbound_logs_flask.log","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Complete If Oplocked, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:19.4356554 am","python.exe","16236","QueryInformationVolume","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","BUFFER OVERFLOW","VolumeCreationTime: 21/6/2021 11:26:07 am, VolumeSerialNumber: D42C-6BC0, SupportsObjects: True, VolumeLabel: Win૚"
"10:35:19.4356695 am","python.exe","16236","QueryAllInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","BUFFER OVERFLOW","CreationTime: 2/8/2022 9:50:08 am, LastAccessTime: 5/8/2022 10:17:41 am, LastWriteTime: 5/8/2022 10:17:41 am, ChangeTime: 5/8/2022 10:17:41 am, FileAttributes: A, AllocationSize: 397,312, EndOfFile: 394,254, NumberOfLinks: 1, DeletePending: False, Directory: False, IndexNumber: 0xd00000000776e4, EaSize: 0, Access: Generic Read/Write, Position: 0, Mode: Synchronous IO Non-Alert, AlignmentRequirement: Long"
"10:35:19.4356844 am","python.exe","16236","QueryStandardInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS","AllocationSize: 397,312, EndOfFile: 394,254, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:35:19.4357956 am","python.exe","16236","QueryStandardInformationFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS","AllocationSize: 397,312, EndOfFile: 394,254, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:35:19.4358121 am","python.exe","16236","WriteFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS","Offset: 394,254, Length: 1,373, Priority: Normal"
"10:35:19.4359187 am","python.exe","16236","CloseFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\pylogging\logs\inbound_logs_flask.log","SUCCESS",""
